,0,1
COP,oil,diesel
CNQ,oil,diesel
HES,oil,diesel
CVE,oil,diesel
SU,oil,diesel
OXY,oil,diesel
EOG,oil,diesel
XOM,oil,diesel
CVX,oil,gasoline
DVN,oil,diesel
BP,oil,diesel
EQNR,oil,diesel
PXD,oil,diesel
SLB,oil,diesel
EC,oil,diesel
E,oil,diesel
PSX,oil,diesel
ENB,oil,diesel
MPC,oil,diesel
OKE,oil,gasoline
VLO,oil,gasoline
KMI,oil,diesel
PTR,oil,diesel
NEM,gold,silver
GOLD,gold,silver
